"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2025","74.36","73.02","74.95","72.78","30.31K","2.34%"
"06/10/2025","72.66","74.23","74.28","72.31","27.51K","-2.12%"
"06/09/2025","74.23","73.88","74.94","73.24","21.68K","0.99%"
"06/06/2025","73.50","72.90","73.95","72.57","15.97K","1.04%"
"06/05/2025","72.74","72.61","74.04","72.32","27.69K","0.18%"
"06/04/2025","72.61","72.48","73.57","72.22","22.76K","0.01%"
"06/03/2025","72.60","71.07","72.86","70.68","27.01K","2.38%"
"06/02/2025","70.91","70.01","72.14","70.01","26.32K","0.71%"
"05/30/2025","70.41","70.76","71.69","70.13","19.73K","-0.75%"
"05/29/2025","70.94","72.86","73.48","70.65","24.70K","-1.57%"
"05/28/2025","72.07","71.20","72.65","70.77","24.16K","0.43%"
"05/27/2025","71.76","72.91","73.09","70.80","24.94K","-1.74%"
"05/26/2025","73.03","72.00","73.37","72.00","13.10K","2.05%"
"05/23/2025","71.56","72.50","73.00","70.00","29.77K","-0.82%"
"05/22/2025","72.15","72.59","73.63","71.75","25.75K","-0.81%"
"05/21/2025","72.74","73.62","73.87","72.30","22.25K","-0.60%"
"05/20/2025","73.18","69.76","73.51","69.73","29.31K","3.92%"
"05/19/2025","70.42","70.99","72.46","69.60","34.55K","-0.80%"
"05/16/2025","70.99","73.45","75.02","70.81","36.99K","-3.30%"
"05/15/2025","73.41","72.10","73.70","71.20","25.38K","1.49%"
"05/14/2025","72.33","73.08","73.63","71.55","21.27K","-0.78%"
"05/13/2025","72.90","73.12","73.82","71.90","29.60K","-0.69%"
"05/12/2025","73.41","70.80","73.63","70.52","33.93K","4.29%"
"05/09/2025","70.39","71.05","71.49","69.82","20.19K","-0.47%"
"05/08/2025","70.72","71.06","71.76","70.40","25.13K","-0.48%"
"05/07/2025","71.06","69.65","71.40","69.05","33.33K","2.58%"
"05/06/2025","69.27","67.55","69.68","67.45","27.18K","2.67%"
"05/05/2025","67.47","68.68","68.73","66.70","20.26K","-1.88%"
"05/02/2025","68.76","67.07","69.27","66.78","27.73K","2.60%"
"05/01/2025","67.02","66.86","67.35","66.24","9.49K","0.71%"
"04/30/2025","66.55","64.90","66.90","64.52","22.93K","2.62%"
"04/29/2025","64.85","64.95","65.40","64.14","24.94K","-0.70%"
"04/28/2025","65.31","66.11","66.37","64.72","23.55K","-1.69%"
"04/25/2025","66.43","66.46","67.63","66.24","24.75K","0.18%"
"04/24/2025","66.31","66.52","66.69","64.75","26.37K","-0.88%"
"04/23/2025","66.90","64.80","67.30","64.80","32.34K","3.90%"
"04/22/2025","64.39","65.10","65.94","63.61","26.24K","-2.28%"
"04/17/2025","65.89","67.18","67.37","65.47","21.38K","-1.61%"
"04/16/2025","66.97","65.70","67.64","65.52","26.89K","1.18%"
"04/15/2025","66.19","66.60","67.95","65.75","27.30K","-0.48%"
"04/14/2025","66.51","65.22","67.33","65.15","27.99K","2.61%"
"04/11/2025","64.82","62.82","65.33","61.78","37.73K","4.35%"
"04/10/2025","62.12","63.50","65.26","61.68","41.99K","1.94%"
"04/09/2025","60.94","60.65","61.67","60.07","48.63K","-1.80%"
"04/08/2025","62.06","63.46","63.57","60.84","44.52K","-1.24%"
"04/07/2025","62.84","62.50","65.24","60.26","66.18K","-1.54%"
"04/04/2025","63.82","66.06","66.26","62.69","64.78K","-3.39%"
"04/03/2025","66.06","67.46","67.48","65.63","50.00K","-3.63%"
"04/02/2025","68.55","70.00","70.35","68.16","26.79K","-1.88%"
"04/01/2025","69.86","67.98","70.72","67.61","35.63K","2.77%"
"03/31/2025","67.98","68.55","69.18","67.08","35.10K","-1.19%"
"03/28/2025","68.80","68.20","69.38","67.95","22.72K","0.38%"
"03/27/2025","68.54","70.55","70.58","68.08","43.81K","-3.23%"
"03/26/2025","70.83","70.27","71.80","69.88","30.76K","0.53%"
"03/25/2025","70.46","71.25","71.60","70.21","28.00K","-1.48%"
"03/24/2025","71.52","71.30","71.94","70.75","23.88K","0.10%"
"03/21/2025","71.45","74.00","74.16","71.23","26.97K","-2.14%"
"03/20/2025","73.01","73.73","74.19","72.80","27.71K","-0.59%"
"03/19/2025","73.44","71.50","74.23","71.50","35.88K","3.00%"
"03/18/2025","71.30","70.17","71.75","69.82","31.66K","1.70%"
"03/17/2025","70.11","70.37","70.99","69.59","20.05K","-1.24%"
"03/14/2025","70.99","70.42","71.75","69.37","25.08K","0.55%"
"03/13/2025","70.60","69.36","71.82","68.54","37.73K","1.41%"
"03/12/2025","69.62","67.69","69.81","67.27","27.44K","2.02%"
"03/11/2025","68.24","68.76","69.71","67.42","30.83K","-1.12%"
"03/10/2025","69.01","68.45","70.28","67.65","37.58K","0.55%"
"03/07/2025","68.63","67.30","69.45","66.78","41.02K","1.95%"
"03/06/2025","67.32","68.26","69.12","66.84","42.51K","-2.14%"
"03/05/2025","68.79","68.21","69.55","68.07","40.17K","0.42%"
"03/04/2025","68.50","71.40","71.66","67.70","53.99K","-4.26%"
"03/03/2025","71.55","71.80","72.87","71.28","26.46K","0.77%"
"02/28/2025","71.00","72.90","73.69","70.76","27.42K","-2.45%"
"02/27/2025","72.78","71.00","73.53","71.00","35.02K","2.48%"
"02/26/2025","71.02","71.78","72.58","70.69","32.84K","-1.02%"
"02/25/2025","71.75","73.76","74.00","71.15","31.67K","-2.59%"
"02/24/2025","73.66","74.62","74.99","72.16","31.86K","-0.32%"
"02/21/2025","73.90","72.60","74.90","72.41","29.69K","1.69%"
"02/20/2025","72.67","73.85","73.97","72.26","42.97K","-1.82%"
"02/19/2025","74.02","75.48","76.26","73.53","32.30K","-2.27%"
"02/18/2025","75.74","76.73","77.40","74.63","46.18K","-1.90%"
"02/17/2025","77.21","79.88","79.88","76.80","26.54K","-3.18%"
"02/14/2025","79.75","77.69","79.93","77.25","32.37K","2.18%"
"02/13/2025","78.05","80.25","80.49","77.79","43.48K","-2.79%"
"02/12/2025","80.29","81.60","82.12","80.05","31.62K","-2.78%"
"02/11/2025","82.59","82.80","84.17","81.62","31.00K","-0.42%"
"02/10/2025","82.94","82.70","84.25","82.70","25.92K","0.80%"
"02/07/2025","82.28","81.64","82.65","81.11","21.36K","0.43%"
"02/06/2025","81.93","81.05","83.00","80.94","31.29K","1.00%"
"02/05/2025","81.12","81.00","82.66","79.77","28.08K","0.30%"
"02/04/2025","80.88","81.10","81.90","79.48","34.15K","-0.10%"
"02/03/2025","80.96","84.01","84.22","80.10","42.84K","-3.54%"
"01/31/2025","83.93","82.90","84.44","82.67","25.67K","1.54%"
"01/30/2025","82.66","83.50","84.50","82.25","30.01K","-0.35%"
"01/29/2025","82.95","80.80","83.80","80.80","33.85K","3.35%"
"01/28/2025","80.26","79.55","80.80","78.30","31.80K","1.13%"
"01/27/2025","79.36","81.07","81.58","79.00","29.41K","-2.83%"
"01/24/2025","81.67","81.11","81.73","79.88","27.48K","1.13%"
"01/23/2025","80.76","79.22","82.00","78.98","39.24K","2.31%"
"01/22/2025","78.94","79.81","79.95","78.48","26.23K","-1.66%"
"01/21/2025","80.27","80.11","80.42","77.90","33.20K","0.35%"
"01/20/2025","79.99","79.00","80.50","78.45","28.31K","0.92%"
"01/17/2025","79.26","78.18","80.50","77.80","33.97K","1.19%"
"01/16/2025","78.33","78.00","78.75","77.25","29.68K","0.45%"
"01/15/2025","77.98","77.25","78.95","77.20","32.86K","1.33%"
"01/14/2025","76.96","76.75","77.25","75.75","23.69K","0.05%"
"01/13/2025","76.92","75.40","77.23","75.40","30.69K","2.77%"
"01/10/2025","74.85","73.39","75.18","72.33","28.43K","1.89%"
"01/09/2025","73.46","71.95","73.71","71.55","26.92K","1.79%"
"01/08/2025","72.17","74.62","74.62","71.91","25.21K","-2.53%"
"01/07/2025","74.04","74.56","74.92","72.91","26.67K","-0.43%"
"01/06/2025","74.36","75.94","76.15","73.80","25.52K","-2.08%"
"01/03/2025","75.94","75.05","76.35","74.86","23.02K","1.00%"
"01/02/2025","75.19","73.55","75.35","72.00","26.45K","3.00%"
